origin,destination,today,tomorrow,plus_2_days,earliest_date_with_flights,sample_airline,sample_lowest_fare_usd,sample_depart_time_local
ABE,MCO,Y,Y,Y,2026-07-14,DL,251.2,18:05
ATL,HOU,Y,Y,Y,2026-07-14,WN,402.4,19:35
ATL,JAX,Y,Y,Y,2026-07-14,DL,453.4,18:11
ATL,MSP,Y,Y,Y,2026-07-14,WN,414.2,19:00
ATL,SAN,Y,Y,Y,2026-07-14,WN,459.2,18:45
ATL,SEA,Y,Y,Y,2026-07-14,AA,553.2,19:53
AUS,LAX,Y,Y,Y,2026-07-14,DL,208.39,20:30
BDL,DCA,Y,Y,Y,2026-07-14,AA,376.4,19:33
BOS,AUS,Y,Y,Y,2026-07-14,WN,403.2,17:45
BOS,BUF,Y,Y,Y,2026-07-14,DL,178.2,18:00
BOS,CVG,Y,Y,Y,2026-07-14,WN,217.2,18:30
BOS,SEA,Y,Y,Y,2026-07-14,DL,458.4,19:20
BOS,SLC,Y,Y,Y,2026-07-14,DL,458.4,18:45
BUF,ATL,Y,Y,Y,2026-07-14,DL,523.4,19:19
BUF,RSW,Y,Y,Y,2026-07-14,DL,233.2,19:19
BUR,SEA,Y,Y,Y,2026-07-14,WN,204.2,16:50
BUR,SFO,Y,Y,Y,2026-07-14,WN,326.4,20:20
CLE,TPA,Y,Y,Y,2026-07-14,WN,284.2,19:10
CLT,DEN,Y,Y,Y,2026-07-14,WN,217.2,19:05
CLT,MIA,Y,Y,Y,2026-07-14,AA,425.41,18:00
CLT,TPA,Y,Y,Y,2026-07-14,AA,327.4,18:00
CMH,DCA,Y,Y,Y,2026-07-14,DL,211.2,18:47
CMH,FLL,Y,Y,Y,2026-07-14,DL,259.2,18:39
CMH,LAX,Y,Y,Y,2026-07-14,WN,227.2,18:10
DEN,AUS,Y,Y,Y,2026-07-14,DL,378.4,18:54
DEN,MIA,Y,Y,Y,2026-07-14,DL,233.2,19:09
DEN,MSY,Y,Y,Y,2026-07-14,WN,409.4,18:55
DEN,SAT,Y,Y,Y,2026-07-14,WN,488.4,20:00
DEN,TUS,Y,Y,Y,2026-07-14,WN,402.4,20:50
DFW,EWR,Y,Y,Y,2026-07-14,DL,246.2,17:05
DFW,SAT,Y,Y,Y,2026-07-14,AA,320.4,17:26
DFW,STL,Y,Y,Y,2026-07-14,DL,242.2,17:05
DSM,MCO,Y,Y,Y,2026-07-14,AA,513.2,16:48
DTW,BNA,Y,Y,Y,2026-07-14,WN,391.4,20:10
DTW,IAH,Y,Y,Y,2026-07-14,AA,338.2,18:11
DTW,MSY,Y,Y,Y,2026-07-14,WN,384.2,18:30
DTW,PHL,Y,Y,Y,2026-07-14,DL,453.4,21:35
DTW,SAN,Y,Y,Y,2026-07-14,AA,668.2,18:11
EWR,IND,Y,Y,Y,2026-07-14,DL,351.2,18:59
EWR,JAX,Y,Y,Y,2026-07-14,DL,262.21,18:59
EWR,SLC,Y,Y,Y,2026-07-14,DL,483.4,17:59
FLL,BOS,Y,Y,Y,2026-07-14,DL,368.4,19:59
FLL,DEN,Y,Y,Y,2026-07-14,DL,568.2,18:28
FLL,DFW,Y,Y,Y,2026-07-14,DL,250.2,18:28
GRR,MCO,Y,Y,Y,2026-07-14,DL,513.2,17:58
IAD,TPA,Y,Y,Y,2026-07-14,DL,198.2,17:46
IAH,DFW,Y,Y,Y,2026-07-14,AA,322.4,18:53
IAH,EWR,Y,Y,,2026-07-14,DL,598.2,17:20
IAH,PHL,Y,Y,Y,2026-07-14,DL,403.2,17:20
IAH,SAN,Y,Y,Y,2026-07-14,AA,588.2,17:02
IND,FLL,Y,Y,Y,2026-07-14,DL,333.2,18:38
IND,MIA,Y,Y,Y,2026-07-14,DL,221.2,18:38
JAX,ATL,Y,Y,Y,2026-07-14,DL,453.4,19:09
JFK,BUF,Y,Y,Y,2026-07-14,DL,210.41,22:46
JFK,LAX,Y,Y,Y,2026-07-14,AA,356.4,18:10
JFK,ORD,Y,Y,Y,2026-07-14,DL,203.4,19:35
JFK,RSW,Y,Y,Y,2026-07-14,DL,318.2,19:00
KOA,HNL,Y,Y,Y,2026-07-14,WN,134.9,19:00
LAX,DCA,Y,Y,Y,2026-07-14,WN,281.2,22:05
LAX,DTW,Y,Y,Y,2026-07-14,WN,504.2,23:55
LAX,MSP,Y,Y,Y,2026-07-14,WN,399.2,23:00
LAX,OAK,Y,Y,Y,2026-07-14,WN,339.41,18:35
LAX,STL,Y,Y,Y,2026-07-14,DL,251.2,17:05
LGB,SEA,Y,Y,Y,2026-07-14,DL,202.2,16:55
MCO,DEN,Y,Y,Y,2026-07-14,WN,477.4,19:45
MCO,JFK,Y,Y,Y,2026-07-14,DL,198.4,19:58
MCO,ORD,Y,Y,Y,2026-07-14,WN,204.4,21:50
MIA,MCO,Y,Y,Y,2026-07-14,9B,94,18:15
MSP,IAH,Y,Y,Y,2026-07-14,AA,338.2,18:02
OAK,PHX,Y,Y,Y,2026-07-14,WN,186.4,20:55
OAK,SEA,Y,Y,Y,2026-07-14,WN,348.4,16:50
ORD,BWI,Y,Y,Y,2026-07-14,DL,198.2,17:18
ORD,PIT,Y,Y,Y,2026-07-14,DL,254.2,17:18
PDX,DFW,Y,Y,Y,2026-07-14,DL,221.2,22:55
PDX,MCO,Y,Y,Y,2026-07-14,DL,204.2,17:14
PDX,ORD,Y,Y,Y,2026-07-14,DL,213.2,22:55
PDX,SJC,Y,Y,Y,2026-07-14,WN,358.4,19:55
PDX,SLC,Y,Y,Y,2026-07-14,WN,343.2,17:50
PDX,SNA,Y,Y,Y,2026-07-14,WN,209.2,17:20
PHL,IND,Y,Y,Y,2026-07-14,WN,258.2,18:40
PHL,JAX,Y,Y,Y,2026-07-14,AA,348.4,18:14
PHL,SAT,Y,Y,Y,2026-07-14,WN,302.2,18:10
PHL,STL,Y,Y,Y,2026-07-14,WN,288.2,18:10
PHX,SAN,Y,Y,Y,2026-07-14,WN,189.4,17:10
PIT,IAH,Y,Y,Y,2026-07-14,AA,561.2,17:44
PIT,PHL,Y,Y,Y,2026-07-14,AA,411.4,19:45
PIT,PHX,Y,Y,Y,2026-07-14,DL,287.2,17:55
PIT,TPA,Y,Y,Y,2026-07-14,DL,445.2,17:55
PWM,MCO,Y,Y,Y,2026-07-14,DL,269.2,18:57
RDU,JFK,Y,Y,Y,2026-07-14,DL,258.4,19:55
SAN,JFK,Y,Y,Y,2026-07-14,DL,403.4,21:59
SAN,MCO,Y,Y,Y,2026-07-14,WN,413.4,21:55
SAN,ORD,Y,Y,Y,2026-07-14,WN,213.2,21:55
SEA,BOS,Y,Y,Y,2026-07-14,DL,458.4,23:15
SEA,PDX,Y,Y,Y,2026-07-14,DL,283.4,18:55
SEA,SMF,Y,Y,Y,2026-07-14,DL,358.4,17:00
SFO,MIA,Y,Y,Y,2026-07-14,WN,229.2,21:10
SJC,PHX,Y,Y,Y,2026-07-14,WN,267.4,18:15
SJU,MCO,Y,Y,Y,2026-07-14,WN,285.5,18:00
SJU,MIA,Y,Y,Y,2026-07-14,AA,258.5,19:14
SLC,DFW,Y,Y,Y,2026-07-14,DL,258.4,17:40
SLC,LAX,Y,Y,Y,2026-07-14,AA,357.2,18:50
SLC,LGB,Y,Y,Y,2026-07-14,DL,426.4,20:40
SLC,SAN,Y,Y,Y,2026-07-14,WN,351.2,17:00
SMF,PHX,Y,Y,Y,2026-07-14,WN,247.4,20:30
SNA,SLC,Y,Y,Y,2026-07-14,WN,419.2,18:50
STL,DFW,Y,Y,Y,2026-07-14,DL,242.2,17:36
STL,MIA,Y,Y,Y,2026-07-14,DL,248.2,18:58
TPA,DEN,Y,Y,Y,2026-07-14,DL,608.2,17:53
TPA,DFW,Y,Y,Y,2026-07-14,DL,265.2,17:53
